source_file,source_section,serial_number,programme_code,programme_name,award_level,pathway_type,admission_capacity,duration_years,notes
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",1,UD001,Bachelor of Arts in Archaeology,Bachelor's Degree,degree,52,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",2,UD002,Bachelor of Arts in Economics,Bachelor's Degree,degree,270,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",3,UD003,Bachelor of Arts in Archaeology and History,Bachelor's Degree,degree,57,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",4,UD004,Bachelor of Arts in Geography and Environmental Studies,Bachelor's Degree,degree,238,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",5,UD005,Bachelor of Arts in Heritage Management,Bachelor's Degree,degree,95,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",6,UD006,Bachelor of Arts in History,Bachelor's Degree,degree,100,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",7,UD007,Bachelor of Arts in Language Studies,Bachelor's Degree,degree,100,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",8,UD008,Bachelor of Arts in Literature,Bachelor's Degree,degree,95,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",9,UD009,Bachelor of Arts in Political Science and Public Administration,Bachelor's Degree,degree,250,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",10,UD010,Bachelor of Arts in Sociology,Bachelor's Degree,degree,198,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",11,UD011,Bachelor of Science in Statistics,Bachelor's Degree,degree,176,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",12,UD012,Bachelor of Arts with Education,Bachelor's Degree,degree,1386,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",13,UD013,Bachelor of Science in Chemical and Process Engineering,Bachelor's Degree,degree,60,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",14,UD014,Bachelor of Science in Computer Engineering and Information Technology,Bachelor's Degree,degree,70,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",15,UD015,Bachelor of Science in Electrical Engineering,Bachelor's Degree,degree,67,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",16,UD016,Bachelor of Science in Mining Engineering,Bachelor's Degree,degree,40,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",17,UD017,Bachelor of Science in Textile Engineering,Bachelor's Degree,degree,40,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",18,UD018,Bachelor of Science in Textile Design and Technology,Bachelor's Degree,degree,35,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",19,UD019,Bachelor of Science in Telecommunications Engineering,Bachelor's Degree,degree,70,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",20,UD021,Bachelor of Science in Actuarial Sciences,Bachelor's Degree,degree,60,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",21,UD022,Bachelor of Science in Applied Zoology,Bachelor's Degree,degree,50,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",23,UD024,Bachelor of Science in Botanical Sciences,Bachelor's Degree,degree,60,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",24,UD025,Bachelor of Science in Chemistry,Bachelor's Degree,degree,50,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",25,UD026,Bachelor of Science in Engineering Geology,Bachelor's Degree,degree,15,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",26,UD028,Bachelor of Science in Geology,Bachelor's Degree,degree,23,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",27,UD029,Bachelor of Science in Microbiology,Bachelor's Degree,degree,60,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",28,UD030,Bachelor of Science in Molecular Biology and Biotechnology,Bachelor's Degree,degree,60,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",29,UD031,Bachelor of Science in Wildlife Science And Conservation,Bachelor's Degree,degree,50,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",30,UD032,Bachelor of Science with Education,Bachelor's Degree,degree,350,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",31,UD033,Bachelor of Science with Geology,Bachelor's Degree,degree,33,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",32,UD034,Bachelor of Science in Computer Science,Bachelor's Degree,degree,113,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",33,UD035,Bachelor of Science in Electronic Science and Communication,Bachelor's Degree,degree,57,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",34,UD037,Bachelor of Arts in Journalism,Bachelor's Degree,degree,40,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",35,UD038,Bachelor of Arts in Mass Communication,Bachelor's Degree,degree,40,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",36,UD039,Bachelor of Arts in Public Relations and Advertising,Bachelor's Degree,degree,65,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",37,UD040,Bachelor of Arts in Kiswahili,Bachelor's Degree,degree,200,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",38,UD041,Bachelor of Commerce in Accounting,Bachelor's Degree,degree,285,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",39,UD042,Bachelor of Commerce in Banking and Financial Services,Bachelor's Degree,degree,114,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",40,UD043,Bachelor of Commerce in Finance,Bachelor's Degree,degree,119,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",41,UD044,Bachelor of Commerce in Human Resource Management,Bachelor's Degree,degree,92,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",42,UD045,Bachelor of Commerce in Marketing,Bachelor's Degree,degree,114,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",43,UD046,Bachelor of Commerce in Tourism Management,Bachelor's Degree,degree,69,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",44,UD049,Bachelor of Education in Early Childhood Education,Bachelor's Degree,degree,80,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",45,UD050,Bachelor of Education in Physical Education and Sports Sciences,Bachelor's Degree,degree,80,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",46,UD052,Bachelor of Arts in Law Enforcement,Bachelor's Degree,degree,40,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",47,UD053,Bachelor of Laws,Bachelor's Degree,degree,150,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",48,UD054,Bachelor of Arts in Economics and Statistics,Bachelor's Degree,degree,168,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",49,UD055,Bachelor of Science in Mechanical Engineering,Bachelor's Degree,degree,70,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",50,UD056,Bachelor of Science in Industrial Engineering,Bachelor's Degree,degree,50,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",51,UD057,Bachelor of Science in Metallurgy and Mineral Processing Engineering,Bachelor's Degree,degree,29,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",52,UD058,Bachelor of Science in Civil Engineering,Bachelor's Degree,degree,213,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",53,UD059,Bachelor of Science in Petroleum Geology,Bachelor's Degree,degree,15,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",54,UD060,Bachelor of Science in Petroleum Engineering,Bachelor's Degree,degree,24,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",55,UD061,Bachelor of Science in Petroleum Chemistry,Bachelor's Degree,degree,50,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",56,UD062,Bachelor of Science in Meteorology,Bachelor's Degree,degree,50,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",57,UD063,Bachelor of Architecture,Bachelor's Degree,degree,30,5,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",58,UD064,Bachelor of Library and Information Studies,Bachelor's Degree,degree,63,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",59,UD065,Bachelor of Science in Aquatic Sciences and Fisheries,Bachelor's Degree,degree,60,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",60,UD066,Bachelor of Social Work,Bachelor's Degree,degree,121,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",61,UD067,Bachelor of Arts in Psychology,Bachelor's Degree,degree,52,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",62,UD068,Bachelor of Arts in Anthropology,Bachelor's Degree,degree,79,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",63,UD069,Bachelor of Arts in Philosophy and Ethics,Bachelor's Degree,degree,150,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",64,UD070,Bachelor of Arts in Development Studies,Bachelor's Degree,degree,102,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",65,UD071,Bachelor of Arts in Art and Design,Bachelor's Degree,degree,100,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",66,UD072,Bachelor of Arts in Film and Television Arts,Bachelor's Degree,degree,70,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",67,UD073,Bachelor of Arts in Music,Bachelor's Degree,degree,70,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",68,UD074,Bachelor of Science in Food Science and Technology,Bachelor's Degree,degree,46,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",69,UD075,Bachelor of Science in Bee Keeping Science and Technology,Bachelor's Degree,degree,70,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",70,UD076,Bachelor of Science in Agricultural Engineering and Mechanisation,Bachelor's Degree,degree,57,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",71,UD077,Bachelor of Science in Quantity Surveying,Bachelor's Degree,degree,50,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",72,UD078,Bachelor of Science in Agricultural and Natural Resources Economics and Business,Bachelor's Degree,degree,150,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",73,UD079,Bachelor of Science in Geomatics,Bachelor's Degree,degree,29,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",74,UD080,Doctor of Medicine,Professional Undergraduate Degree,degree,122,5,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",75,UD081,Bachelor of Arts in Theatre Arts,Bachelor's Degree,degree,70,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",76,UD082,Bachelor of Business Administration (Evening),Bachelor's Degree,degree,172,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",77,UD083,Bachelor of Science in Crop Science and Technology,Bachelor's Degree,degree,70,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",78,UD084,Bachelor of Arts in Archaeology and Geography,Bachelor's Degree,degree,50,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",80,UD086,Bachelor of Science in Electronics Engineering,Bachelor's Degree,degree,57,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",81,UD087,Bachelor of Science in Marine Sciences,Bachelor's Degree,degree,45,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",82,UD088,Bachelor of Arts in Diplomatic and Military History,Bachelor's Degree,degree,75,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",83,UD089,Bachelor of Science in Mathematics and Statistics,Bachelor's Degree,degree,60,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",84,UD090,Bachelor of Science in Business Information Technology,Bachelor's Degree,degree,90,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",85,UD091,Bachelor of Science in Geophysics,Bachelor's Degree,degree,12,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",86,UD092,Bachelor of Science in Geology and Geothermal Resources,Bachelor's Degree,degree,12,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",87,UD093,Bachelor of Arts in Communication Studies,Bachelor's Degree,degree,95,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",88,UD094,"Bachelor of Arts in History, Cultural Heritage Management and Tourism",Bachelor's Degree,degree,70,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",89,UD095,Bachelor of Science in Physics and Chemistry,Bachelor's Degree,degree,50,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",90,UD096,Bachelor of Science in Applied Microbiology and Chemistry,Bachelor's Degree,degree,60,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",91,UD097,Bachelor of Commerce in Procurement and Supply Chain Management,Bachelor's Degree,degree,40,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",92,UD098,Doctor of Dental Surgery,Professional Undergraduate Degree,degree,15,5,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",93,UD099,Bachelor of Arts in Gender Studies and Community Development,Bachelor's Degree,degree,40,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",94,UD100,Bachelor of Science in Physics (Medical Physics),Bachelor's Degree,degree,15,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
